Work;Work;310.a;310.b;321.a;321.b;321.c;386;426;431;452.a;452.b;463.a;463.b;463.c;463.d;463.e;481;497.a;497.b;498.a;498.b;498.c;498.d;498.e;498.f;498.g;498.h;498.i;498.j;501;525;715.a;715.b;715.c;715.d;715.e;715.f;761.a;761.b;761.c;761.d;761.e;761.f;D20.a;D20.b;D20.c;D20.d;D20.e;D20.f;D20.g;D20.h;D20.i;D51;D55;D87.a;D87.b;D87.c;D87.d;D87.e;D87.f;D87.g;D87.h;19.a;19.b;19.c;19.d;34.a;34.b;34.c;34.d;53.a;53.b;53.c;53.d;53.e;53.f;53.g;53.h;53.i;55.a;55.b;55.c;55.d;55.e;57;66;67;71.a;71.b;71.c;71.d;71.e;84.a;84.b;84.c;112.a;112.b;112.c;200.a;200.b;200.c;200.d;200.e;200.f;200.g;200.h;200.i;200.j;201.a;201.b;201.c;206.a;206.b;206.c;206.d;206.e;206.f;210.a;210.b;210.c;210.d;216.a;216.b;216.c;217;218.a;218.b;218.c;218.d;218.e;218.f;218.g;223;226;240.a;240.b;240.c;240.d;240.e;240.f;240.g;240.h;242;260;277;278
Recall;AD vs NC;;;93.75;92.19;93.75;;;;70;73;87.32;82.86;92.14;90.89;92.32;;;;65.72;51.43;60;70.5;75.5;70;56.25;85.71;60;76;;92.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.72;86.03;83.84;80.79;91.40;91.4;;;83.87;87.10;87.10;87.10;87.10;87;99;86;91.54;88.04;94.65;;;;;;;;;;;90.8;89.2;91.4;;;;;;;;;;;84.04;83.85;86.36;79.16;;;;;;;;;;89.9;89.49;91.15;90.74;91.55;94.07;95.65;96.75;94;97.78;;
Recall;MCI vs NC;;;65.00;61.25;65.00;;;;52;52;40.36;49.96;49.46;61.43;60.0;;;;57;52.78;56.95;66;70.73;;;;;;;78.74;74.7;81.4;80.8;85.4;86.5;92.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.08;;;;;;;;69;95;67;99.58;98.69;95.37;;;;;;;;;;;;;;;;;;;;;;;;;;;76.9;;;;;;;;;;;;;;;;;;95;91.11;;
F1score;MultiClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1score;AD vs MCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.84;87.27;87.43;87.34;86.77;90.86;91.25;90.83;90.86;91.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1score;AD vs NC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.3;94.15;94.03;93.68;93.93;95.63;97.37;97.61;98.12;98.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1score;MCI vs NC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.8;80.2;81.7;83.5;87.1;89.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.44;61.92;63.88;62.87;62.93;65.64;68.66;69.61;70.15;68.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Precision;MultiClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;35;47;35;59.5;59.6;59.7;60.5;62.5;63.6;63.7;63.7;63.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Precision;AD vs MCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.42;56.61;64.46;58.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Precision;AD vs NC;;;;;;;;;;;;;;;;;85;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.5;52;53;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65.81;59.93;63.31;57.97;;;;;;;;;;;83;85;86;86;74;79;83;;;;;;;;;;;;;;
Precision;MCI vs NC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.1;79;82.6;81.7;87.7;87.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.88;59.01;60.97;56.46;62.24;56.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAP;MultiClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.2;63.9;63.9;65.5;65.7;71.8;72.4;78.1;;;;;38;47;37;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAP;AD vs MCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAP;AD vs NC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;73;51;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;83;85;84;69;73;75;;;;;;;;;;;;;;
MAP;MCI vs NC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
